ID,Preconditions,Secure Coding Guidelines,ID,content
G42,The code unit uses dynamically allocated memory,The code unit should set a pointer to NULL once its memory has been freed,CWE-416_4,"When freeing pointers, be sure to set them to NULL once they are freed. However, the utilization of multiple or complex data structures may lower the usefulness of this strategy."
G43,The code unit allocates resources,The code unit should limit the number of allocated resources,CWE-400_1,"If an attacker can trigger the allocation of these limited resources, but the number or size of the resources is not controlled, then the attacker could cause a denial of service that consumes all available resources."
G44,The code unit allocates resources,The code unit should limit the size of allocated resources,CWE-400_1,"If an attacker can trigger the allocation of these limited resources, but the number or size of the resources is not controlled, then the attacker could cause a denial of service that consumes all available resources."
G45,The code unit allocates resources,The code unit should release a resource after its use,CWE-400_4,Not closing/returning a resource after processing
G46,The code unit allocates resources,The code unit should release resources on error conditions or other exceptional circumstances,CWE-400_5,Resource exhaustion problems are often result due to an incorrect implementation of the following situations: Error conditions and other exceptional circumstances. Confusion over which part of the program is responsible for releasing the resource.
G47,The code unit allocates resources,The code unit should be able to release the resources for which it is responsible,CWE-400_5,Resource exhaustion problems are often result due to an incorrect implementation of the following situations: Error conditions and other exceptional circumstances. Confusion over which part of the program is responsible for releasing the resource.
G48,The code unit allocates resources,The code unit should allow resource allocation only to authorized parties,CWE-400_7,A strong authentication and access control model will help prevent such attacks from occurring in the first place.
G49,The code unit reads data from a database,The code unit should cache the result set from a database access,CWE-400_9,"Limiting the database access, perhaps by caching result sets, can help minimize the resources expended."
G50,The code unit allows users to make some kind of requests,The code unit should prevent users making further requests if their limit has been exceeded,CWE-400_10,consider tracking the rate of requests received from users and blocking requests that exceed a defined rate threshold.
G51,The code unit allocates resources,The code unit should place the system into a safe posture in case of failures in resource allocation,CWE-400_14,Ensure that all failures in resource allocation place the system into a safe posture.
G52,The code unit allocates threads,The code unit should limit the numbers of threads that can be created,CWE-400_15,There are no limits to runnables. Potentially an attacker could cause resource problems very quickly.
G53,The code unit allocates connections,The code unit should limit the numbers of connections that can be made,CWE-400_16.a,"The program does not track how many connections have been made, and it does not limit the number of connections."
G54,The code unit dumps data into a file,The code unit should prevent files from growing without any limit,CWE-400_17,This example creates a situation where data can be dumped to a file on the local file system without any limits on the size of the file. This could potentially exhaust file or disk resources and/or limit other clients' ability to access the service.
G55,The code unit places external data into strings or character arrays,The code unit should limit the length of strings or character arrays,CWE-400_18,"This example creates a situation where the length of the body character array can be very large and will consume excessive memory, exhausting system resources. This can be avoided by restricting the length of the second character array with a maximum length check"
G56,The code unit places external data into buffers,The code unit should limit the length of buffers,CWE-400_21,"This example creates a situation where the length of the body supplied can be very large and will consume excessive memory, exhausting system resources. This can be avoided by ensuring the body does not exceed a predetermined length of bytes."
G57,N/A,The code unit should require the right authentication level,CWE-306_1,"Divide the software into anonymous, normal, privileged, and administrative areas. Identify which of these areas require a proven user identity, and use a centralized authentication capability."
G58,The code unit involves some communication channels,The code unit should not open a protected channel without requiring authentication,CWE-306_2,"Identify all potential communication channels, or other means of interaction with the software, to ensure that all channels are appropriately protected, including those channels that are assumed to be accessible only by authorized parties."
G59,The code unit involves multiple connections/channels within a single session,The code unit should perform authentication at every connection,CWE-306_4,"In general, if the software or protocol allows a single session or user state to persist across multiple connections or channels, authentication and appropriate credential management need to be used throughout."
G60,The code unit is server-side in a client-server application,The code unit should perform the same security checks made on the client side,CWE-306_5,"For any security checks that are performed on the client side, ensure that these checks are duplicated on the server side, in order to av oid CWE-602 ."
G61,The code unit is client-side in a client-server application,The code unit should not allow values to be modified after the security checks have been performed,CWE-306_6,"Attackers can bypass the client-side checks by modifying values after the checks have been performed, or by changing the client to remove the client-side checks entirely. Then, these modified values would be submitted to the server."
G62,The code unit is client-side in a client-server application,The code unit should not have its intended security checks removed,CWE-306_6,"Attackers can bypass the client-side checks by modifying values after the checks have been performed, or by changing the client to remove the client-side checks entirely. Then, these modified values would be submitted to the server."
G63,The code unit is web-based and have pages,The code unit should apply authentication before returning the requested page,CWE-306_8,"In environments such as the World Wide Web, the line between authentication and authorization is sometimes blurred. If custom authentication routines are required instead of those provided by the server, then these routines must be applied to every single page, since these pages could be requested directly."
G64,The code unit accesses data stored in the cloud,The code unit should require authentication when accessing cloud data,CWE-306_11,"When migrating data to the cloud (e.g., S3 buckets, Azure blobs, Google Cloud Storage, etc.), there is a risk of losing the Operation protections that were originally provided by hosting on internal networks. If access does not require authentication, it can be easier for attackers to access the data from anywhere on the Internet."
G65,The code unit's operation involves protected objects,The code unit should require authentication when requesting operations,CWE-306_12,"However, there is no authentication mechanism to ensure that the user creating this bank account object has the authority to create new bank accounts. Some authentication mechanisms should be used to verify that the user has the authority to create bank account objects."
G66,The code unit involves S3 buckets,The code unit should configure sensitive buckets for no public read access when created,CWE-306_14.a,"The sensitive information could have been protected by ensuring that the buckets did not have public read access, e.g., by enabling the s3-account-level-public-access-blocks-periodic rule to Block Public Access."
G67,The code unit involves S3 buckets,The code unit should configure sensitive buckets for encrypted data when created,CWE-306_14.b,"In addition, the data could have been encrypted at rest using the appropriate S3 settings, e.g., by enabling server-side encryption using the s3-bucket-server-side-encryption-enabled setting. Other settings are available to further prevent bucket data from being leaked."
G68,1. The code unit handles resources and actions that need to be protected.,The code unit should perform an authorization check when an actor attempts to access a resource or perform an action,CWE-863_1,The product does not perform an authorization check when an actor attempts to access a resource or perform an action.
G69,1. The code unit handles resources and actions that need to be protected.,The code unit should include or reference a mapping of roles with accessible data and functionality,CWE-863_3,Reduce the attack surface by carefully mapping roles with data and functionality.
G70,"1. The code unit handles resources and actions that need to be protected.
2. The code unit handles access control
3. The code unit has defined boundaries",The code unit should use role-based access control (RBAC) to enforce the roles at the appropriate boundaries,CWE-863_4,Use role-based access control (RBAC) [ REF-229] to enforce the roles at the appropriate boundaries.
G71,"1. The code unit handles resources and actions that need to be protected.
2. The code unit handles access control
3. Business logic is available",The code unit should perform access controls related to the business logic,CWE-863_5,Ensure that access control checks are performed related to the business logic.
G72,1. The code unit handles resources and actions that need to be protected.,The code unit should use a vetted library or framework that prevents missing authorization weakness such as JAAS authorization and OWASP ESAPI Access Control feature,CWE-863_6,"Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid. For example, consider using authorization frameworks such as the JAAS Authorization Framework [REF-233 ] and the OWASP ESAPI Access Control feature [ REF-45]."
G73,"1. The code unit handles resources and actions that need to be protected.
2. The code unit is a web application with server side",The code unit should enforce access control mechanism at the server side ,CWE-863_7,"For web applications, make sure that the access control mechanism is enforced correctly at the server side on every page."
G74,"1. The code unit handles resources and actions that need to be protected.
2. The code unit is a web application",The code unit should provide access to functionalities or information to unauthorized users requesting direct access to the page,CWE-863_8,Users should not be able to access any unauthorized functionality or information by simply requesting direct access to that page.
G75,"1. The code unit handles resources and actions that need to be protected.
2. The code unit is a web application containing sensitive information",The code unit should not cache pages containing sensitive information,CWE-863_9,"One way to do this is to ensure that all pages containing sensitive information are not cached,"
G76,"1. The code unit handles resources and actions that need to be protected.
2. The code unit is a web application containing sensitive information",The code unit should restrict the access to pages containing sensitive information to authorized users with active and authenticates session token.,CWE-863_10,that all such pages restrict access to requests that are accompanied by an active and authenticated session token associated with a user who has the required permissions to access that page.
G77,1. The code unit handles resources and actions that need to be protected.,The code unit should include or references a mapping of roles with accessible data and functionality,CWE-862_3,Reduce the attack surface by carefully mapping roles with data and functionality.
G78,"1. The code unit handles resources and actions that need to be protected.
2. The code unit is a web application",The code unit should not provide access to functionalities or information to unauthorized users requesting direct access to the page,CWE-862_8,Users should not be able to access any unauthorized functionality or information by simply requesting direct access to that page.
G79,1. The code unit handles sensitive information,"The code unit should store sensitive information (passwords, keys, credentials etc.) in a strongly protected encrypted configuration file or database with restricted access",CWE-798-1,"For outbound authentication: store passwords, keys, and other credentials outside of the code in a strongly-protected, encrypted configuration file or database that is protected from access by all outsiders, including other local users on the same system."
G80,1. The code unit handles files with sensitive information,The code unit should restrict the permissions to files that cannot encrypted,CWE-798-3.a,"If you cannot use encryption to protect the file, then make sure that the permissions are as restrictive as possible"
G81,1. The code unit handles user logins,"The code unit should utilize a ""first login"" mode that requires the user to enter a unique strong password or key rather than hardcode default credentials for first time logins",CWE-798-4,"For inbound authentication: Rather than hardcode a default username and password, key, or other authentication credentials for first time logins, utilize a ""first login"" mode that requires the user to enter a unique strong password or key."
G82,1. The code unit includes features controlled by hard-coded credentials,The code unit should perform access control checks and limit which entities can access the feature that requires the hardcoded credentials,CWE-798-5,"If the product must contain hardcoded credentials or they cannot be removed, perform access control checks and limit which entities can access the feature that requires the hardcoded credentials"
G83,1. The code unit handles sensitive information,The code unit should apply strong one-way hashes to the passwords,CWE-798-6,For inbound authentication using passwords: apply strong one-way hashes to passwords 
G84,1. The code unit handles authentication,The code unit should compare the hash of an incoming password to a saved hash during authentication,CWE-798-7.b,"When handling an incoming password during authentication, take the hash of the password and compare it to the saved hash."
G85,1. The code unit generates hashes,The code unit should randomly assign salts for each separate hash that is generated,CWE-798-8,Use randomly assigned salts for each separate hash that is generated.
G86,1. The code unit generates passwords or keys,The code unit should use generated passwords or keys that are automatically updated and require input by a system administrator at specified time intervals.,CWE-798-9.a,"For front-end to back-end connections: Three solutions are possible, although none are complete. The first suggestion involves the use of generated passwords or keys that are changed automatically and must be entered at given time intervals by a system administrator. "
G87,1. The code unit handles temporary passwords,"The code unit should keep temporary passwords in the memory for the specific time interval, beyond which the passwords becomes invalid",CWE-798-9.b,These passwords will be held in memory and only be valid for the time intervals. 
G88,"1. The code unit works with backend and front end
2. The code unit handles passwords or keys",The code unit should limit the backend passwords or keys to only perform actions valid for the front end instead of having full access,CWE-798-9.c,"For front-end to back-end connections: Next, the passwords or keys should be limited at the back end to only performing actions valid for the front end, as opposed to having full access. "
G89,1. The code unit handles messages sent using time sensitive values,The code unit should tag and checksum the messages sent using time sensitive values to prevent replay-style attacks,CWE-798-9.d,"For front-end to back-end connections: Finally, the messages sent should be tagged and checksummed with time sensitive values so as to prevent replay-style attacks."
G90,1. The code unit handles sentsitive information,The code unit should encrypt the username and passwords information,CWE-798-10.b,"If possible, encrypt this information (username and password information)."
G91,"1. The code unit handles concurrent, parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should wrap critical code using synchronization primitives,CWE-362_1,"In languages that support it, use synchronization primitives. Only wrap these around critical code to minimize the impact on performance."
G92,"1. The code unit handles concurrent, parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should use thread-safe capabilities,CWE-362_2,Use thread-safe capabilities such as the data access abstraction in Spring.
G93,"1. The code unit handles concurrent, parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should use thread-safe functions when using multithreading or performing operations on shared variables.,CWE-362_4,"When using multithreading and operating on shared variables, only use thread-safe functions."
G94,"1. The code unit handles concurrent, parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should perform non-atomic operations on shared variables,CWE-362_5,"Use atomic operations on shared variables. Be wary of innocent-looking constructs such as ""x++""."
G95,"1. The code unit handles concurrent, parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should use mutex for shared variables or resources,CWE-362_6,"Use a mutex if available, but be sure to avoid related weaknesses such as CWE-412."
G96,"1. The code unit handles concurrent, parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should avoid double-checked locking,CWE-362_7,Avoid double-checked locking ( CWE-609 ) and other implementation errors that arise when trying to avoid the overhead of synchronization.
G97,"1. The code unit handles concurrent, parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should disable interrupts or signals over critical parts of the code ,CWE-362_8,"Disable interrupts or signals over critical parts of the code, but also make sure that the code does not go into a large or infinite loop."
G98,"1. The code unit handles concurrent, parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should use volatile type modifier for critical variables,CWE-362_9,Use the volatile type modifier for critical variables to avoid unexpected compiler optimization or reordering.
G99,"1. The code unit handles concurrent, parallel or multithreaded programming that involves resource sharing
2. The programming language supports synchronisation primitives",The code unit should use lowest privileges that are necessary for performing tasks involving resource sharing,CWE-362_10,Run your code using the lowest privileges that are required to accomplish the necessary tasks
G100,1. The code unit handles HTTP requests from external actors,The code unit should sufficiently verify whether a request was intentionally provided by the user who submitted the request.,CWE-352_1,"The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request."
G101,1. The code unit handles HTTP requests from external actors,The code unit should use vetted library or framework that does not allow CSRF ,CWE-352_3.a,Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid. 
G102,1. The code unit handles HTTP requests from external actors,The code unit should prevent XSS attacks,CWE-352_4,"Ensure that the application is free of cross-site scripting issues ( CWE-79 ), because most CSRF defenses can be bypassed using attacker-controlled script."
G103,1. The code unit handles HTTP requests from external actors,The code unit should use a unique and unpredictable nonce to verify a submitted form,CWE-352_5,"Generate a unique nonce for each form, place the nonce into the form, and verify the nonce upon receipt of the form. Be sure that the nonce is not predictable"
G104,"1. The code unit handles HTTP requests from external actors
2. The HTTP request performs a dangerous action",The code unit should send a separate confirmation request to ensure that the user intended to perform an operation that is deemed dangerous,CWE-352_6,"Identify especially dangerous operations. When the user performs a dangerous operation, send a separate confirmation request to ensure that the user intended to perform that operation."
G105,1. The code unit handles HTTP POST requests from external actors,The code unit should generate a pseudorandom value and set it as a cookie on the user's machine. ,CWE-352_8.a,"When a user visits a site, the site should generate a pseudorandom value and set it as a cookie on the user's machine. "
G106,1. The code unit handles HTTP POST requests from external actors,The code unit should verify if the pseudorandom value is present as a form value and a cookie value,CWE-352_8.b,The site should require every form submission to include this value as a form value and also as a cookie value. 
G107,1. The code unit handles HTTP requests from external actors,The code unit should generate cryptographically strong pseudorandom value as cookie,CWE-352_9,"To successfully submit a form on behalf of the user, the attacker would have to correctly guess the pseudorandom value. If the pseudorandom value is cryptographically strong, this will be prohibitively difficult."
G108,1. The code unit handles HTTP requests from external actors,The code unit should not use GET method for any request that triggers a state change,CWE-352_10,Do not use the GET method for any request that triggers a state change.
G109,1. The code unit handles HTTP requests from external actors,The code unit should verify the origin page of the request by checking the HTTP Referer header,CWE-352_11,Check the HTTP Referer header to see if the request originated from an expected page.
G110,1. The code unit handles actions performed by an actor,The code unit should verify the identity of an actor,CWE-287_1,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct"
G111,1. The code unit set resource permissions,The code unit should not assign persmissions that allow anyone to modify the files,CWE-276_1,"During installation, installed file permissions are set to allow anyone to modify those files."
G112,1. The code unit set resource permissions,The code unit should restrict access and modification rights to only those users who require those actions,CWE-276_2,The architecture needs to access and modification attributes for files to only those users who actually require those actions.
G113,"1. The code unit handles sensitive data
2. The code unit has a trust boundary",The code unit should not allow sensitive data to go outside of the trust boundary.,CWE-276_4.a,Do not allow sensitive data to go outside of the trust boundary
G114,1. The code unit handles user privilege assignment,The code unit should follow the principle of least privilege when assigning access rights to entities in a software system.,CWE-276_6,Architects and designers should rely on the principle of least privilege to decide the appropriate time to use privileges and the time to drop privileges.
G115,1. The code unit handles user privilege assignment,The code unit should properly assign or modify the privileges of an actor.,CWE-269_1.a,"The product does not properly assign or modify privileges for an actor, creating an unintended sphere of control for that actor"
G116,1. The code unit handles handles actions that require user privileges,The code unit should properly track or check privileges for an actor,CWE-269_1.b,"The product does not properly track, or check privileges for an actor, creating an unintended sphere of control for that actor"
G117,1. The code unit has trust zones,The code unit should explicitly manage trust zones in the software,CWE-269_2.b,Explicitly manage trust zones in the software.
G118,1. The code unit handles resource privilege assignment,The code unit should follow the principle of separation of privileges.,CWE-269_4,Consider following the principle of separation of privilege. Require multiple conditions to be met before permitting access to a system resource.
G119,1. The code unit sends the sensitive information into another source,The code unit should not explicitly insert sensitive information into resources or messages accessible to unauthorized actors,CWE-200_1,"the code explicitly inserts sensitive information into resources or messages that are intentionally made accessible to unauthorized actors, but should not contain the information - i.e., the information should have been ""scrubbed"" or ""sanitized"""
G120,1. The code unit sends the sensitive information into another source,The code unit should not let another weakness or code error indirectly inserts sensitive information into resources or messages accessible to unauthorized actors,CWE-200_2,"different weakness or mistake indirectly inserts the sensitive information into resources, such as a web script error revealing the full system path of the program."
G121,1. The code unit handles sensitive resources,The code unit should not make sensitive resources accessible to unauthorized users,CWE-200_3,"the code manages resources that intentionally contain sensitive information, but the resources are unintentionally made accessible to unauthorized actors."
G122,1. The code unit handles sensitive resources,The code unit should be compartmentalized to have safe areas with trust boundaries,CWE-200_4,"Compartmentalize the system to have ""safe"" areas where trust boundaries can be unambiguously drawn"
G123,1. The code unit handles sensitive resources,The code unit should prevent sensitive data to go out side of the trust boundary,CWE-200_5,Do not allow sensitive data to go outside of the trust boundary
G124,1. The code unit handles sensitive resources,The code unit should implement the principle of least privilege on sensitive resources,CWE-200_6,Architects and designers should rely on the principle of least privilege to decide the appropriate time to use privileges and the time to drop privileges
G125,1. The code unit handles integer operations,The code unit should define strict protocols to identify out-of-bounds behavior,CWE-190_1,"Ensure that all protocols are strictly defined, such that all out-of-bounds behavior can be identified simply, and require strict conformance to the protocol."
G126,1. The code unit handles integer operations,The code unit should use vetted library or framework that prevents out-ouf-bounds weakness,CWE-190_2,Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid
G127,"1. The code unit accepts numeric inputs from external components such as users, modules etc.",The code unit should perform input validation on all numeric inputs to ensure that they are within the expected range,CWE-190_4,Perform input validation on any numeric input by ensuring that it is within the expected range.
G128,1. The code unit handles integer operations,The code unit should use unsigned integers where possible,CWE-190_6,Use unsigned integers where possible.
G129,1. The code unit handles signed integer operations,The code unit should verify if the signed integers meets both minimum and maximum requirements for the expected range,CWE-190_7,"When signed integers are required, ensure that the range check includes minimum values as well as maximum values."
G130,1. The code unit handles client side and server side,The code unit should duplicate the client side security checks on the server side.,CWE-190_8,"For any security checks that are performed on the client side, ensure that these checks are duplicated on the server side,"
G131,1. The code unit handles client side and server side,The code unit should prevent the submission of modified filepaths to the server after manually disabling or bypassing client-side validation checks,CWE-190_9,"Attackers can bypass the client-side checks by modifying values after the checks have been performed, or by changing the client to remove the client-side checks entirely. Then, these modified values would be submitted to the server."
G132,"The code unit accepts inputs from an external component (e.g., user, other module, etc.)",The code unit should use an accept list to verify acceptable inputs,CWE-125_1,"Use an ""accept known good"" input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications."
